You may check your phone’s screen time settings for a more accurate estimate. Round to the nearest whole number - Number of hours",What are your top 3 reasons for using media (other than messaging)? (Select 3) - Selected Choice,What are your top 3 reasons for using media (other than messaging)? (Select 3) - Other (please specify): - Text,I browse my social media feed to see posts and updates from others.,"I view other users' profiles and the content they share. (e.g., influencers, friends, celebrities)",I read comments on other people’s posts.,"I watch stories, reels, shorts, or similar content posted by others.",I create my own original content for social media.,"I post photos, videos, stories, or other content on social media.","I share, repost, or recommend content to others.","I comment on, reply to, or interact with other people’s posts.",Which of the following statements best describes how much you know about deepfakes?,This is an attention check. Please select ‘Unlikely.’,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,"I know how to use search engines (e.g., Google, Bing, etc.) to find the information I need online.","I understand the political, economic, and social meanings behind media content.",I understand the different opinions and perspectives shared by others in the media.,"Beyond basic phone use, I use hardware (e.g., camera, microphone, lighting, etc.) and/or software (e.g., photo editing apps, Adobe, CapCut, Canva, Audacity, etc.) to create or edit social media content.","I regularly share posts, photos, videos, or other content on social media.","I regularly interact with other users by commenting on, replying to, or reacting to their posts.","I share my opinions and/or participate in online discussions in ways that can influence, inform, or 
challenge the thoughts of other people.","When I post or comment online, I try to consider different viewpoints about the 
topic.",I interact and/or collaborate with different people online to share ideas or achieve a common goal.,I compare information from different sources before deciding what to believe.,"I think critically about media content by comparing it with my own knowledge, opinions, and 
experiences.","I evaluate whether information in the media is accurate, reliable, and trustworthy.","I believe that [social media platform] takes users’ exposure to misinformation seriously.

06/07/2026 22:31,06/07/2026 22:32,0,100,97,1,06/07/2026 22:32,R_4Ej20aBxcHvMcxT,anonymous,EN,,TRUE,"1,2,3",3,1,1,5,2,2,4,3,4,2,3,3,2,"1,2,3",,2,3,1,5,1,5,4,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,3,5,3,3,4,3,5,2,2,5,3,4,4,4,5,3,5,1,3,5,6,6Custom Value
06/07/2026 22:35,06/07/2026 22:37,1,100,97,1,06/07/2026 22:37,R_4Bs2I880ji0O6XE,preview,EN,,,"1,2,3",4,4,2,6,4,1,4,4,5,2,5,"1,2,3",3,"2,8,10",,3,2,3,4,3,1,5,4,3,1,2,2,2,2,2,3,2,4,1,1,1,1,2,1,1,1,4,2,3,3,4,1,4,3,1,2,4,3,1,3,5,5,3,3,3,3,7,7Custom Value
06/07/2026 22:35,06/07/2026 22:46,0,100,657,1,06/07/2026 22:46,R_9mC1ofEO0NwqnEI,anonymous,EN,,TRUE,"1,2,3",2,,4,2,4,4,4,2,3,4,2,4,1,"1,2,3",,4,1,3,5,3,4,4,3,4,2,1,1,1,1,2,1,2,2,1,3,1,1,2,4,1,2,3,4,2,3,4,4,5,4,2,3,2,4,2,2,3,2,1,2,4,4,5,5Custom Value
06/07/2026 22:52,06/07/2026 22:54,0,100,98,1,06/07/2026 22:54,R_4vdKYBpAMiHkO4j,anonymous,EN,,TRUE,"1,2,3",2,24,2,7,3,2,3,5,2,1,5,1,1,"3,4,5",,5,2,4,4,5,2,3,3,2,2,1,3,1,2,2,2,2,2,2,2,1,1,1,2,1,1,3,4,5,2,3,2,5,2,2,2,1,4,2,1,1,1,1,2,3,4,5,5Custom Value
06/07/2026 23:01,06/07/2026 23:04,0,100,179,1,06/07/2026 23:04,R_9lxDMCPfgzNnKni,anonymous,EN,,,"1,2,3",3,18,5,1,1,3,3,5,5,3,2,"3,4,5",10,"2,6,7",,4,4,4,4,2,1,1,5,4,2,2,2,1,2,2,3,1,2,1,2,2,2,2,3,2,3,4,4,4,2,2,1,4,4,5,4,2,1,5,4,1,2,1,2,2,2,3,3Custom Value
07/07/2026 04:27,07/07/2026 04:37,0,100,584,1,07/07/2026 04:37,R_416FllHdiIXElSG,anonymous,EN,,,"1,2,3",2,20,2,3,4,4,2,3,2,2,1,"1,4,6",6,"5,7,8",,3,4,2,4,2,3,3,3,3,2,1,4,1,3,1,4,2,2,1,4,1,3,2,4,1,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4Custom Value
07/07/2026 04:26,07/07/2026 04:39,0,100,790,1,07/07/2026 04:39,R_9xlQuuFqHVQ8UNP,anonymous,EN,,,"1,2,3",4,19,1,5,4,4,3,4,4,4,5,"1,3,4,5,6,7,8,9",7,"5,7,9",,5,5,5,5,2,2,3,3,3,2,2,5,2,3,2,5,2,2,1,3,2,2,1,4,1,3,4,4,5,2,4,4,2,5,5,5,5,5,5,3,3,3,4,5,4,5,7,7Custom Value
07/07/2026 04:47,07/07/2026 04:53,0,100,341,1,07/07/2026 04:53,R_4dJI9MZbTL7xyC6,anonymous,EN,,,"1,2,3",1,21,3,5,4,3,3,4,4,4,4,"1,3,4,5,6,7,9,10",7,"1,2,3",,4,4,4,4,3,3,3,3,4,2,2,3,2,3,2,3,2,5,1,3,1,3,1,3,1,3,5,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,5,1,4,5,8,8Custom Value
07/07/2026 04:43,07/07/2026 04:59,0,100,947,1,07/07/2026 04:59,R_4QG6tssJ0coRldn,anonymous,EN,,,"1,2,3",2,23,6,11,3,3,3,3,3,3,3,"1,3,4,6,7,8,9,10",7,"4,6,10",,4,3,4,4,2,2,4,3,5,2,2,5,1,3,1,3,2,3,1,3,1,3,2,3,1,3,5,5,5,4,5,5,5,4,3,5,5,5,3,3,3,2,4,4,4,5,5,5Custom Value
07/07/2026 04:52,07/07/2026 05:02,0,100,580,1,07/07/2026 05:02,R_9dVZ1TkqqX7P4eB,anonymous,EN,,,"1,2,3",2,20,2,3,5,4,3,4,2,3,5,"1,2,3,4,6,7,8,9,10",4,"5,6,7",,5,5,5,5,4,4,5,3,4,2,2,3,2,3,2,3,2,4,1,4,2,3,2,3,2,3,4,4,4,3,4,5,2,4,3,4,4,4,5,3,4,3,4,4,3,4,5,5Custom Value
07/07/2026 05:01,07/07/2026 05:09,0,100,495,1,07/07/2026 05:09,R_9UPEAroevKq7Me5,anonymous,EN,,,"1,2,3",2,19,1,3,4,4,5,5,5,5,5,"1,4,6,7,10",12,"1,3,5",,4,5,4,5,4,3,4,3,4,2,1,3,1,4,2,2,2,2,1,2,1,3,2,2,1,3,4,5,5,5,3,4,4,5,5,4,4,5,4,3,3,3,4,4,3,3,5,5Custom Value
07/07/2026 05:15,07/07/2026 05:23,0,100,459,1,07/07/2026 05:23,R_9JJHZIA5TMEl6jr,anonymous,EN,,,"1,2,3",2,21,3,5,4,4,3,4,4,3,5,"1,3,4,5,6,7,8,9,10",12,"5,7,9",,4,4,5,4,2,2,3,3,5,2,2,5,2,4,2,5,2,4,1,4,2,3,1,4,1,2,5,4,4,5,2,4,2,4,3,4,5,4,2,2,3,4,4,4,4,3,7,7Custom Value
07/07/2026 05:18,07/07/2026 05:23,0,100,324,1,07/07/2026 05:23,R_4D6FP3B8Mu0czGY,anonymous,EN,,,"1,2,3",1,22,4,3,3,3,3,3,3,3,3,"1,2,3,4,5,6,7,8,9,10",8,"2,7,9",,3,3,3,3,3,3,3,3,4,2,2,3,2,4,1,3,2,3,2,2,2,3,2,5,1,2,5,4,4,4,4,3,3,4,4,3,4,5,4,4,3,3,4,5,3,5,4,4Custom Value
